state,1901,1911,1921,1931,1941,1951,1961,1971,1981,1991,2001,2011
Jammu & Kashmir,2139362,2292535,2424359,2670208,2946728,3253852,3560976,4616632,5987389,7837051,10143700,12541302
Himachal Pradesh,1920294,1896944,1928206,2029113,2263245,2385981,2812463,3460434,4280818,5170877,6077900,6864602
Punjab,7544790,6731510,7152811,8012325,9600236,9160500,11135069,13551060,16788915,20281969,24358999,27743338
Chandigarh,21967,18437,18133,19783,22574,24261,119881,257251,451610,642015,900635,1055450
Uttarakhand,1979866,2142258,2115984,2301019,2614540,2945929,3610938,4492724,5725972,7050634,8489349,10086292
Haryana,4623064,4174677,4255892,4559917,5272829,5673597,7590524,10036431,12922119,16463648,21144564,25351462
NCT OF Delhi,405819,413851,488452,636246,917939,1744072,2658612,4065698,6220406,9420644,13850507,16787941
Rajasthan,10294090,10983509,10292648,11747974,13863859,15970774,20155602,25765806,34261862,44005990,56507188,68548437
Uttar Pradesh,46647804,46012663,44556427,47478533,53920630,60273743,70143635,83848797,105136540,132061653,166197921,199812341
Bihar,21243632,21567159,21358905,23438371,26302771,29085017,34840968,42126236,52302665,64530554,82998509,104099452
Sikkim,59014,87920,81721,109808,121520,137725,162189,209843,316385,406457,540851,610577
Arunachal Pradesh ,N.A,N.A,N.A,N.A,N.A,N.A,336558,467511,631839,864558,1097968,1383727
Nagaland,101550,149038,158801,178844,189641,212975,369200,516449,774930,1209546,1990036,1978502
Manipur,284465,346222,384016,445606,512069,577635,780037,1072753,1420953,1837149,2293896,2855794
Mizoram,82434,91204,98406,124404,152786,196202,266063,332390,493757,689756,888573,1097206
Tripura,173325,229613,304437,382450,513010,639029,1142005,1556342,2053058,2757205,3199203,3673917
Meghalaya,340524,394005,422403,480837,555820,605674,769380,1011699,1335819,1774778,2318822,2966889
Assam,3289680,3848617,4636980,5560371,6694790,8028856,10837329,14625152,18041248,22414322,26655528,31205576
West Bengal,16940088,17998769,17474348,18897036,23229552,26299980,34926279,44312011,54580647,68077965,80176197,91276115
Jharkhand,6068233,6747122,6767770,7908737,8868069,9697254,11606489,14227133,17612069,21843911,26945829,32988134
Odisha,10302917,11378875,11158586,12491056,13767988,14645946,17548846,21944615,26370271,31659736,36804660,41974218
Chhattisgarh,4181554,5191583,5264976,6028778,6814886,7456706,9154498,11637494,14010337,17614928,20833803,25545198
Madhya Pradesh,12679214,14249382,13906774,15326879,17175722,18614931,23217910,30016625,38168507,48566242,60348023,72626809
Gujarat,9094748,9803587,10174989,11489828,13701551,16262657,20633350,26697475,34085799,41309582,50671017,60439692
Daman & Diu,32005,32470,31410,36429,42811,48611,36670,62651,78981,101586,158204,243247
Dadra & Nagar Haveli,24280,29020,31048,38260,40441,41532,57963,74170,103676,138477,220490,343709
Maharashtra  ,19391643,21474523,20849666,23959300,26832758,32002564,39553718,50412235,62782818,78937187,96878627,112374333
Andhra Pradesh ,19065921,21447412,21420448,24203573,27289340,31115259,35983447,43502708,53551026,66508008,76210007,84580777
Karnataka,13054754,13525251,13377599,14632992,16255368,19401956,23586772,29299014,37135714,44977201,52850562,61095297
Goa,475513,486752,469494,505281,540925,547448,589997,795120,1007749,1169793,1347668,1458545
Lakshadweep,13882,14555,13637,16040,18355,21035,24108,31810,40249,51707,60650,64473
Kerala,6396262,7147673,7802127,9507050,11031541,13549118,16903715,21347375,25453680,29098518,31841374,33406061
Tamil Nadu,19252630,20902616,21628518,23472099,26267507,30119047,33686953,41199168,48408077,55858946,62405679,72147030
Puducherry,246354,257179,244156,258628,285011,317253,369079,471707,604471,807785,974345,1247953
Andaman & Nicobar Islands,24649,26459,27086,29463,33768,30971,63548,115133,188741,280661,356152,380581
