state,collection_20_21,collection_19_20,collection_18_19
Andaman and Nicobar Islands[edit],216.92,284,110
Andhra Pradesh[edit],22506.66,23407,8885
Arunachal Pradesh[edit],509.39,488,181
Assam[edit],8207.49,8732,3222
Bihar[edit],9556.74,10492,4086
Chandigarh[edit],1340.77,1641,611
Chhattisgarh[edit],19717.23,19862,8127
Dadra and Nagar Haveli and Daman and Diu[edit],2234.48,2460,988
Goa[edit],2674.08,3515,1526
Gujarat[edit],62006.270000000004,65441,24832
Haryana[edit],44672.41,49564,18895
Himachal Pradesh[edit],5943,6620,2512
Jammu and Kashmir[edit],3053.5,3317,1318
Jharkhand[edit],16702.16,18192,8230
Karnataka[edit],61144.43,68994,26974
Kerala[edit],14272.04,16034,6061
Ladakh[edit],82.73,0.8400000000000001,0
Lakshadweep[edit],8,17.34,9
Madhya Pradesh[edit],22447.06,23478,9423
Maharashtra[edit],134283.99,153660,58363
Manipur[edit],312.7,368,118
Meghalaya[edit],1085.47,1222,468
Mizoram[edit],198.99,238,111
Nagaland[edit],295.31,266,100
National Capital Territory of Delhi[edit],29632.43,36156,13815
Odisha[edit],24206.86,24580.16,9685
Puducherry[edit],1359.09,1554,670
Punjab[edit],11630.22,12511,4644
Rajasthan[edit],26606.489999999998,27176,11040
Sikkim[edit],1846.01,1889,631
Tamil Nadu[edit],56785.39,61842,24531
Telangana[edit],29644.86,33258,13566
Tripura[edit],546.15,567,210
Uttar Pradesh[edit],49663.630000000005,53875,21102
Uttarakhand[edit],10242.7,11858,4889
West Bengal[edit],32904.77,35600,14056
